Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"281","bibtex","7","1605","1604","",""
"282","owin","30","1159","1158","",""
"283","msdn","1","1486","1485","",""
"284","processo","77","1157","1156","",""
"286","webforms","363","872","871","",""
"288","apache","615","1188","1187","",""
"290","divisão","29","1460","1459","",""
"291","matemática","483","1128","1127","",""
"292","pdf","394","992","991","",""
"294","get","196","1376","1375","",""
"296","arm","11","1053","1052","",""
"297","c","4919","1081","1080","",""
"302","div","304","874","873","",""
"303","informix","20","795","794","",""
"304","css-centering","5","","","",""
"305","lado-do-servidor","43","868","867","",""
"306","file-get-contents","34","1596","1595","",""
"307","parâmetros","220","1172","1171","",""
"308","post","410","1098","1097","",""
"309","objetos","379","1318","1317","",""
"310","referência","70","1138","1137","",""
"311","sanitize","7","1694","1693","",""
"312","z-index","14","943","942","",""
"313","strtotime","18","1120","1119","",""
"317","ios","791","977","976","",""
"318","runloop","1","1729","1728","",""
"319","objective-c","275","988","987","",""
"320","thread","389","1445","1444","",""
"322","xaml","136","1000","999","",""
"324","css-font-size","11","1568","1567","",""
"325","ciclo-infinito","12","1049","1048","",""
"329","variáveis-globais","29","1118","1117","",""
"330","codeigniter","1003","965","964","",""
"331","arduino","209","1346","1345","",""
"332","deploy","117","1186","1185","",""
"333","inserir","40","1182","1181","",""
"334","nuvem-de-tags","3","1356","1355","",""
"335","photoshop","6","1580","1579","",""
"336","servlet","183","1044","1043","",""
"337","cache","128","1592","1591","",""
"338","winforms","1195","1008","1007","",""
"339","datagridview","215","1010","1009","",""
"340","google-maps","549","1350","1349","",""
"342","pinvoke","4","1170","1169","",""
"344","ssh","88","1531","1530","",""
"347","upload","298","1288","1287","",""
"348","operadores","345","1364","1363","",""
"350","calendário-gregoriano","1","1335","1334","",""
"352","manipulador-de-evento","4","1366","1365","",""
"353","commit","66","1467","1466","",""
"354","página-de-erro","8","","","",""
"355","convenções-de-nome","50","1358","1357","",""
"356","dicionário","209","1251","1250","",""
"357","cast","77","1284","1283","",""
"358","variáveis-locais","1","1253","1252","",""
"359","referência-circular","6","1255","1254","",""
"361","thread-safety","9","1257","1256","",""
"363","variáveis","679","1314","1313","",""
"364","gem","33","1294","1293","",""
"365","imutabilidade","18","1292","1291","",""
"366","intellij-idea","66","1265","1264","",""
"367","envio-de-email","212","1433","1432","",""
"368","codificação-de-caracteres","228","1304","1303","",""
"369","diretório","117","1290","1289","",""
"373","registro-de-log","106","1267","1266","",""
"374","stack-trace","8","1308","1307","",""
"376","layout","135","1362","1361","",""
"385","array","3180","1339","1338","",""
"387","terminologia","595","1354","1353","",""
"390","índices","121","1474","1473","",""
"392","testes-de-unidade","166","1312","1311","",""
"393","hashcode","9","1280","1279","",""
"394","menu","264","1380","1379","",""
"396","estrutura-de-dados","360","1316","1315","",""
"397","concorrência","59","1322","1321","",""
"401","stringbuilder","21","1302","1301","",""
"403","spliterator","4","1578","1577","",""
"406","chat","46","1625","1624","",""
"407","flood","1","1378","1377","",""
"409","frames","4","13327","13326","",""
"410","iframe","199","1296","1295","",""
"411","arquivo-zip","69","1372","1371","",""
"412","yield","12","1286","1285","",""
"413","group-by","139","1298","1297","",""
"414","psd","4","1588","1587","",""
"415","htaccess","628","1348","1347","",""
"416","url","336","1331","1330","",""
"417","url-rewrite","48","1329","1328","",""
"419","datatable","219","1406","1405","",""
"421","auto-incremento","36","1404","1403","",""
"422","tabela-banco-de-dados","283","1416","1415","",""
"423","url-amigável","104","1408","1407","",""
"425","varbinary","5","1412","1411","",""
"426","openfire","2","1586","1585","",""
"427","controle-de-fluxo","21","1402","1401","",""
"428","tupla","46","1478","1477","",""
"430","dropdown","150","1398","1397","",""
"435","osx","87","1394","1393","",""
"436","shell","209","1574","1573","",""
"439","design-pattern","271","1441","1440","",""
"440","eventos","163","1443","1442","",""
"441","observer-pattern","15","1449","1448","",""
"442","windows-xp","2","1502","1501","",""
"443","unicode","41","1498","1497","",""
"444","sistema-de-arquivos","96","1500","1499","",""
"446","windows","690","1554","1553","",""
"447","pip","60","1505","1504","",""
"448","sql-update","270","20974","20973","",""
"450","formulário-submeter","16","","","",""
"454","label","63","1619","1618","",""
"455","placeholder","28","1590","1589","",""
"457","simplexml-load-string","5","1558","1557","",""
"458","simplexml","14","1552","1551","",""
"460","wordpress","1457","1615","1614","",""
"462","jinja2","16","1621","1620","",""
"464","mobile","560","1742","1741","",""
"466","intellisense","12","5606","5605","",""
"467","use-strict","3","1727","1726","",""
"471","formdata","24","1656","1655","",""
"474","html-tags","90","1734","1733","",""
"481","sintaxe","283","1663","1662","",""
"488","internet-explorer","116","1704","1703","",""
"489","microsoft-access","179","1744","1743","",""
"494","margens","5","","","",""
"495","cakephp","367","1801","1800","",""
"496","mcrypt","7","","","",""
"498","phpexcel","33","1722","1721","",""
"499","formatação-condicional","11","","","",""
"500","dart","451","1782","1781","",""
"501","validação","355","1784","1783","",""
"502","jenkins","49","1835","1834","",""
"505","integração-contínua","31","9789","9788","",""
"506","relatório","131","41184","41183","",""
"507","formulário","702","1841","1840","",""
"508","auth","62","","","",""
"509","algoritmo-de-busca","233","58535","58534","",""
"510","mock","29","","","",""
"511","sensibilidade-de-caixa","11","1807","1806","",""
"516","aplicação-desktop","79","1791","1790","",""
"518","java-swing","744","1803","1802","",""
"522","foundation","2","35532","35531","",""
"523","empty","6","","","",""
"525","arquivo","700","1837","1836","",""
"527","algoritmo-fonético","2","1964","1963","",""
"529","ascii","47","2100","2099","",""
"530","porta-serial","64","2023","2022","",""
"531","netbeans","263","1853","1852","",""
"533","closures","27","2001","2000","",""
"535","variáveis-de-instância","2","11972","11971","",""
"536","classes","741","1934","1933","",""
"538","easeljs","2","73848","73847","",""
"539","spritesheet","5","1881","1880","",""
"540","link","156","1888","1887","",""
"541","table","285","1937","1936","",""
"543","laravel-auth","15","2446","2445","",""
"544","laravel-eloquent","431","2440","2439","",""
"545","laravel-rotas","47","2444","2443","",""
"546","laravel-blade","168","2448","2447","",""
"548","webmethods","9","1939","1938","",""
"549","pagemethods","1","2111","2110","",""
"550","css-border","17","","","",""
"551","google-play","74","2050","2049","",""
"553","require","36","","","",""
"558","orientação-a-objetos","1489","2089","2088","",""
"563","if","500","18994","18993","",""
"564","else","120","","","",""
"565","exceção","345","6665","6664","",""
"566","adapter","12","","","",""
"567","listview","410","2995","2994","",""
"568","multithreading","200","10255","10254","",""
"569","classes-abstratas","48","2091","2090","",""
"570","paralelismo","66","2003","2002","",""
"571","otimização","144","2171","2170","",""
"572","tdd","51","12443","12442","",""
"573","rspec","19","","","",""
"574","namespace","111","2068","2067","",""
"575","seletores","39","2098","2097","",""
"576","html5-data","2","","","",""
"577","yii","50","2734","2733","",""
"580","jquery-data","3","","","",""
"582","autenticação","200","2165","2164","",""
"583","barplot","17","5246","5245","",""
"585","programação-imperativa","8","1984","1983","",""
"586","ponteiro","494","1989","1988","",""
"587","32-bits","12","1996","1995","",""
"588","64-bits","15","1998","1997","",""
"589","compilação","171","4211","4210","",""
"590","hash","126","2454","2453","",""
"595","github","445","2048","2047","",""
"597","ftp","113","2046","2045","",""
"598","powershell","106","2025","2024","",""
"599","varchar","19","2052","2051","",""
"602","concatenação-de-string","106","2029","2028","",""
"604","parser","59","2456","2455","",""
"607","projeto-de-compiladores","9","","","",""
"609","sql-table","3","202275","202274","",""
"610","php-autoload","35","2085","2084","",""
"614","mint","24","12564","12563","",""
"616","tipagem","393","2452","2451","",""
"617","openshift","16","","","",""
"622","infotype","1","2126","2125","",""
"624","design-de-linguagem","21","4896","4895","",""
"626","jdbc","208","12470","12469","",""
"628","acentuação","104","2147","2146","",""
"629","configuração","56","2149","2148","",""
"631","localização","20","2152","2151","",""
"632","herança","263","2159","2158","",""
"633","documentação","66","2161","2160","",""
"634","autenticação-http","18","2163","2162","",""
"635","capitalização","3","2167","2166","",""
"636","debug","156","2169","2168","",""
"637","estilo-de-codificação","266","112086","112085","",""
"639","segurança","398","2175","2174","",""
"644","sincronização","31","2179","2178","",""
"647","refatoração","34","2181","2180","",""
"648","funções","1385","2183","2182","",""
"651","restrição-único","13","2185","2184","",""
"652","condição","170","2187","2186","",""
"654","programação-funcional","103","2189","2188","",""
"655","normalização","29","2191","2190","",""
"660","declaração-de-variável","130","417077","417076","",""
"661","paginação","166","2197","2196","",""
"662","instalador","110","2199","2198","",""
"663","serialização","76","2201","2200","",""
"669","xamarin","486","2218","2217","",""
"672","socket","336","2223","2222","",""
"676","internet-explorer-8","21","2264","2263","",""
"677","integração","47","","","",""
"678","log4j","17","27547","27546","",""
"679","erp","43","2266","2265","",""
"680","xamarin.ios","24","2251","2250","",""
"682","pdoexception","3","81672","81671","",""
"683","xamarin.android","99","2249","2248","",""
"691","recuperação-de-erros","20","","","",""
"693","html-option","22","","","",""
"695","subdomínio","23","2340","2339","",""
"697","google-charts","127","2338","2337","",""
"699","null","118","2336","2335","",""
"700","ireport","115","27476","27475","",""
"703","path-separator","4","","","",""
"706","caminho-relativo","6","","","",""
"708","instanciar-objeto","70","","","",""
"709","dom","292","2332","2331","",""
"710","ip","90","2330","2329","",""
"713","webrtc","13","148347","148346","",""
"714","textarea","57","5619","5618","",""
"716","framework","196","2378","2377","",""
"717","route","94","","","",""
"723","session","413","2459","2458","",""
"724","cliente-servidor","70","2376","2375","",""
"726","razor","367","5631","5630","",""
"728","polígono","3","12129","12128","",""
"729","triângulo","4","12266","12265","",""
"731","arquitetura-de-software","282","11919","11918","",""
"732","mono","23","2411","2410","",""
"733","senhas","49","10027","10026","",""
"734","criptografia","275","5633","5632","",""
"735","característica-linguagem","441","2421","2420","",""
"736","variância","6","","","",""
"737","mod-rewrite","55","103775","103774","",""
"741","posição-do-cursor","9","","","",""
"743","árvore","26","65215","65214","",""
"747","android-studio","1091","2434","2433","",""
"748","sublime-text-2","33","2438","2437","",""
"749","editor-de-texto","37","2436","2435","",""
"751","qftp","1","12116","12115","",""
"752","cookies","174","2961","2960","",""
"753","navegador-de-internet","266","5698","5697","",""
"756","return","162","20981","20980","",""
"758","bytecode","7","65034","65033","",""
"759","socket.io","72","","","",""
"760","extjs-4","8","2491","2490","",""
"763","ecmascript-6","138","2497","2496","",""
"764","ecmascript-5","22","2499","2498","",""
"765","jsf-2.2","240","2501","2500","",""
"766","python-2.7","474","2503","2502","",""
"767","foreach","328","21221","21220","",""
"773","lua","203","2698","2697","",""
"774","soundex","2","5663","5662","",""
"775","soap","204","5440","5439","",""
"776","jqgrid","30","5540","5539","",""
"777","jquery-blockui","3","74378","74377","",""
"779","glassfish","81","27469","27468","",""
"781","tinymce-4","12","20696","20695","",""
"782","backbone.js","4","7468","7467","",""
"783","acl","13","64868","64867","",""
"786","formview","2","","","",""
"787","expressões-lambda","304","148641","148640","",""
"789","reporting-services","26","","","",""
"791","opencart","28","21108","21107","",""
"793","localstorage","126","20757","20756","",""
"795","gridview","109","4259","4258","",""
"796","amazon-aws","232","2957","2956","",""
"798","detecção-de-colisão","14","","","",""
"800","innodb","15","3014","3013","",""
"801","stream-de-arquivos","36","","","",""
"802","uml","77","4919","4918","",""
"803","textbox","92","41244","41243","",""
"805","wamp","85","5624","5623","",""
"806","cobol","10","5930","5929","",""
"807","crud","184","5701","5700","",""
"809","operador-like","25","","","",""
"813","casos-de-uso","22","85493","85492","",""
"814","proteção","9","","","",""
"815","skype","7","3497","3496","",""
"818","cross-domain","29","3198","3197","",""
"819","cross-browser","38","3491","3490","",""
"820","popup","76","3205","3204","",""
"821","redirecionamento-de-url","37","317703","317702","",""
"822","gtk","31","11577","11576","",""
"823","mdi","13","11930","11929","",""
"825","desempenho","496","23468","23467","",""
"829","scrum","14","3432","3431","",""
"830","metodologia","29","27590","27589","",""
"831","centos","75","73637","73636","",""
"832","sass","128","4262","4261","",""
"833","grunt","41","8214","8213","",""
"836","firebird","350","3461","3460","",""
"837","polymer","18","3681","3680","",""
"838","x-tags","1","3507","3506","",""
"840","unix","45","5928","5927","",""
"841","wcf","106","3531","3530","",""
"842","array-multidimensional","142","389331","389330","",""
"843","classificação","310","11571","11570","",""
"844","jersey","47","31352","31351","",""
"846","jackson","23","197677","197676","",""
"849","interface","202","35507","35506","",""
"851","code-first","79","4706","4705","",""
"853","cursor","51","240250","240249","",""
"854","lazy-loading","21","3692","3691","",""
"855","inteiros","36","27592","27591","",""
"856","customelements","2","3706","3705","",""
"857","python-3.x","3362","8618","8617","",""
"858","windows-7","16","4016","4015","",""
"860","arquivo-header","7","","","",""
"862","google-app-engine","25","10407","10406","",""
"863","itextsharp","45","74302","74301","",""
"864","conversão-de-tipo","247","10244","10243","",""
"866","gerenciamento-de-memória","131","11542","11541","",""
"867","stack","119","205548","205547","",""
"868","heap","21","27559","27558","",""
"869","boot","15","12680","12679","",""
"872","opacity","11","5615","5614","",""
"873","sql-view","11","","","",""
"875","html5-audio","53","4098","4097","",""
"877","oauth","46","27506","27505","",""
"881","jasper-reports","157","27503","27502","",""
"884","cycle2","7","","","",""
"885","bxslider","14","4083","4082","",""
"886","linha-de-comando","62","597165","597164","",""
"888","batch","220","6984","6983","",""
"889","openssl","60","12334","12333","",""
"891","internet-explorer-9","10","11998","11997","",""
"893","eval","26","4900","4899","",""
"894","löve","3","9768","9767","",""
"898","redirecionamento","121","10052","10051","",""
"899","c++11","89","4271","4270","",""
"900","logging","5","12283","12282","",""
"901","websql","20","4320","4319","",""
"902","clone","37","4463","4462","",""
"904","qtranslate","2","8573","8572","",""
"905","javamail","24","74308","74307","",""
"906","imap","14","5640","5639","",""
"907","php-fpm","12","4377","4376","",""
"909","proxy","54","21252","21251","",""
"910","kendo-ui","40","74685","74684","",""
"911","timezone","43","4467","4466","",""
"914","mvc","747","5442","5441","",""
"915","nullpointerexception","197","4841","4840","",""
"916","resources","29","","","",""
"918","backup","68","5661","5660","",""
"921","plugin","145","10025","10024","",""
"927","injeção-de-dependência","100","20778","20777","",""
"931","jquery-validate","84","21218","21217","",""
"932","unity3d","290","27480","27479","",""
"933","querydsl","3","4691","4690","",""
"942","web2py","14","","","",""
"945","alocação","158","16230","16229","",""
"947","actionscript-3","53","5932","5931","",""
"948","scripting","13","7968","7967","",""
"950","ide","106","12561","12560","",""
"952","jar","64","10242","10241","",""
"953","phantomjs","11","4961","4960","",""
"954","joomla","47","4970","4969","",""
"957","path","67","","","",""
"962","drag-n-drop","52","55114","55113","",""
"969","oracle10g","22","","","",""
"970","phpmailer","233","27485","27484","",""
"971","matriz","533","10253","10252","",""
"972","gravatar","1","21090","21089","",""
"973","jquery-ui","216","5626","5625","",""
"974","datepicker","141","68803","68802","",""
"975","elasticsearch","36","179356","179355","",""
"976","notepad++","28","5340","5339","",""
"977","agendamento","24","221765","221764","",""
"979","gwt","5","5461","5460","",""
"980","apc","2","5368","5367","",""
"981","cross-platform","45","12572","12571","",""
"985","md5","48","5445","5444","",""
"986","delphi-xe4","16","13523","13522","",""
"987","dbgrid","16","11908","11907","",""
"989","vagrant","38","5453","5452","",""
"990","gradle","107","73966","73965","",""
"992","windows-ce","7","12023","12022","",""
"993","openmp","10","","","",""
"995","internet-explorer-7","2","21178","21177","",""
"998","team-foundation-server","69","111611","111610","",""
"1002","dpkg","1","5573","5572","",""
"1004","eventos-do-mouse","57","172530","172529","",""
"1005","ejb","72","12473","12472","",""
"1007","css-font-face","48","","","",""
"1009","shim","1","6312","6311","",""
"1010","polyfill","4","6307","6306","",""
"1013","asp.net-mvc-4","134","12272","12271","",""
"1014","blob","52","27549","27548","",""
"1015","highcharts","94","21214","21213","",""
"1018","firebug","6","21239","21238","",""
"1019","tinymce","23","","","",""
"1022","sql-injection","35","6947","6946","",""
"1025","struts2","15","67597","67596","",""
"1026","java-ee","615","8953","8952","",""
"1028","random","245","10929","10928","",""
"1031","makefile","36","27602","27601","",""
"1032","travis-ci","14","","","",""
"1033","sdl","19","23406","23405","",""
"1039","utf-8","132","6209","6208","",""
"1042","sistema-operacional","85","6942","6941","",""
"1043","console","153","12475","12474","",""
"1045","fancybox","24","6072","6071","",""
"1047","canvas","204","10258","10257","",""
"1049","fastcgi","8","27553","27552","",""
"1050","php-5","21","21105","21104","",""
"1051","pdo","915","10546","10545","",""
"1053","data.frame","182","6145","6144","",""
"1054","order","40","6148","6147","",""
"1057","ddos","11","21069","21068","",""
"1059","lm","8","6246","6245","",""
"1060","regressão","74","6244","6243","",""
"1062","plot","100","6284","6283","",""
"1063","resolução-de-tela","23","12140","12139","",""
"1064","app","186","41072","41071","",""
"1065","dll","139","12142","12141","",""
"1066","impressora","69","21180","21179","",""
"1068","jtextfield","26","199818","199817","",""
"1069","actionlistener","6","204437","204436","",""
"1070","procedure","117","145923","145922","",""
"1072","semântica","56","12264","12263","",""
"1075","árvores-de-expressão","2","6400","6399","",""
"1077","layout-responsivo","317","11567","11566","",""
"1079","testes-funcionais","21","6438","6437","",""
"1080","xml-schema","16","6744","6743","",""
"1084","oauth2","78","67658","67657","",""
"1085","scheduler","35","21115","21114","",""
"1089","newsletter","12","","","",""
"1090","jframe","67","12081","12080","",""
"1091","delphi-xe3","42","8217","8216","",""
"1092","timer","63","","","",""
"1095","crystal-reports","69","6936","6935","",""
"1096","solid","29","6632","6631","",""
"1098","widget","46","27545","27544","",""
"1103","advogado-de-linguagem","3","6730","6729","",""
"1105","visual-basic-6","212","148133","148132","",""
"1106","engine","12","","","",""
"1107","template","127","21110","21109","",""
"1109","ux","100","16726","16725","",""
"1110","coordenadas","24","","","",""
"1111","geometria","23","73934","73933","",""
"1114","gráfico-de-dispersão","7","6710","6709","",""
"1117","ssl","136","6931","6930","",""
"1118","gráfico-condicional","2","","","",""
"1119","histograma","25","6810","6809","",""
"1121","windows-phone","108","6938","6937","",""
"1122","buscador-google","264","13222","13221","",""
"1123","google-sites","5","21099","21098","",""
"1126","inteligência-artificial","63","74295","74294","",""
"1127","rede","126","6856","6855","",""
"1128","ponto-flutuante","25","6891","6890","",""
"1130","ogg","2","12551","12550","",""
"1131","bass","2","9195","9194","",""
"1132","imagem","695","41070","41069","",""
"1134","jquery-ui-multiselect","8","","","",""
"1135","warnings","25","","","",""
"1137","services","75","572402","572401","",""
"1138","cmd","274","6986","6985","",""
"1139","análise-numérica","4","6933","6932","",""
"1140","jsp","372","12137","12136","",""
"1148","trigger","207","7118","7117","",""
"1149","rscript","3","6988","6987","",""
"1150","ggplot2","319","6982","6981","",""
"1151","mvvm","58","375024","375023","",""
"1152","rotas","79","","","",""
"1155","rolamento","186","41151","41150","",""
"1156","query","1205","7116","7115","",""
"1158","comentários","37","7099","7098","",""
"1159","greensock-gsap","3","7130","7129","",""
"1161","websocket","131","7254","7253","",""
"1162","cors","116","7178","7177","",""
"1166","virtualbox","26","7319","7318","",""
"1167","vmware","6","7317","7316","",""
"1171","microsoft-azure","174","10526","10525","",""
"1172","descompilação","9","21258","21257","",""
"1173","ofuscação","9","14926","14925","",""
"1175","redmine","11","10042","10041","",""
"1176","less","46","7765","7764","",""
"1177","aplicação-web","920","148637","148636","",""
"1179","encode","27","","","",""
"1180","documentfragment","1","7759","7758","",""
"1182","erlang","9","7385","7384","",""
"1184","async","152","7499","7498","",""
"1185","read.table","2","7442","7441","",""
"1187","css-transições","39","","","",""
"1189","jquery-masked-input","19","","","",""
"1196","bcrypt","21","27551","27550","",""
"1198","data","924","11539","11538","",""
"1199","bash","288","7721","7720","",""
"1201","kohana","8","8352","8351","",""
"1203","sql-insert","206","17687","17686","",""
"1205","certificado-digital","119","11917","11916","",""
"1210","exportação","40","","","",""
"1211","importação","101","41186","41185","",""
"1213","delphi-7","178","13518","13517","",""
"1216","requirejs","25","7836","7835","",""
"1217","http-status","43","7866","7865","",""
"1218","collation","14","","","",""
"1219","input-output","15","","","",""
"1223","google-maps-android-api-2","60","25380","25379","",""
"1225","android-layout","693","21209","21208","",""
"1226","android-billing","6","25366","25365","",""
"1228","streaming","48","12468","12467","",""
"1231","combinações","27","","","",""
"1233","conexão","196","41236","41235","",""
"1235","rtf","8","27571","27570","",""
"1236","pagamento-online","42","12331","12330","",""
"1239","comparação","164","41215","41214","",""
"1242","pivot","39","","","",""
"1243","grafo","86","12342","12341","",""
"1249","apply","18","8058","8057","",""
"1250","sapply","2","8060","8059","",""
"1251","lapply","8","8062","8061","",""
"1252","mapply","2","8064","8063","",""
"1254","http-headers","70","","","",""
"1256","parallax","20","8959","8958","",""
"1258","sql-server-2005","9","","","",""
"1262","formatação","192","41188","41187","",""
"1263","wysiwyg","23","20844","20843","",""
"1265","asp","293","18981","18980","",""
"1266","windows-mobile","4","11928","11927","",""
"1267","windows-mobile-5","2","","","",""
"1269","sqldeveloper","49","448069","448068","",""
"1270","lubridate","11","8256","8255","",""
"1271","download","123","18985","18984","",""
"1272","try-catch","75","112420","112419","",""
"1273","syntax-error","112","20862","20861","",""
"1274","data.rable-r","11","8259","8258","",""
"1275","plyr","4","8261","8260","",""
"1276","dplyr","145","8265","8264","",""
"1279","webclient","19","","","",""
"1281","svn","47","11921","11920","",""
"1283","xsd","27","75317","75316","",""
"1284","diagrama","36","12329","12328","",""
"1286","modelo-relacional","126","8464","8463","",""
"1287","click","59","81667","81666","",""
"1288","tabela-html","247","20760","20759","",""
"1289","workflow","5","8542","8541","",""
"1290","análise-de-dados","9","8540","8539","",""
"1292","jsoup","16","187206","187205","",""
"1293","jcrop","5","8563","8562","",""
"1294","scipy","15","8575","8574","",""
"1296","convenções","17","8622","8621","",""
"1297","ipython","2","8629","8628","",""
"1299","anaconda","22","8655","8654","",""
"1300","sublimerepl","4","8657","8656","",""
