MonthStart,Month Year,Cumulative Unanswered Questions,Cumulative No Answers At All,New Questions,Newly Answered Questions,NewlyGotFirstAnswer,NetChangeInUnanswered,NetChangeInNoAnswersAtAll
2023-03-01,2023-03-01,31022,15524,179,96,156,83,23
2023-04-01,2023-04-01,31099,15533,133,56,124,77,9
2023-05-01,2023-05-01,31155,15547,119,63,105,56,14
2023-06-01,2023-06-01,31191,15548,71,35,70,36,1
2023-07-01,2023-07-01,31213,15547,37,15,38,22,-1
2023-08-01,2023-08-01,31243,15556,50,20,41,30,9
2023-09-01,2023-09-01,31296,15567,80,27,69,53,11
2023-10-01,2023-10-01,31341,15584,78,33,61,45,17
2023-11-01,2023-11-01,31384,15587,71,28,68,43,3
2023-12-01,2023-12-01,31417,15601,54,21,40,33,14
2024-01-01,2024-01-01,31447,15608,46,16,39,30,7
2024-02-01,2024-02-01,31470,15616,39,16,31,23,8
2024-03-01,2024-03-01,31491,15622,34,13,28,21,6
2024-04-01,2024-04-01,31513,15632,35,13,25,22,10
2024-05-01,2024-05-01,31535,15640,36,14,28,22,8
2024-06-01,2024-06-01,31548,15643,25,12,22,13,3
2024-07-01,2024-07-01,31570,15658,27,5,12,22,15
2024-08-01,2024-08-01,31588,15672,20,2,6,18,14
2024-09-01,2024-09-01,31596,15676,11,3,7,8,4
2024-10-01,2024-10-01,31614,15687,24,6,13,18,11
2024-11-01,2024-11-01,31619,15691,9,4,5,5,4
2024-12-01,2024-12-01,31627,15695,8,0,4,8,4
2025-01-01,2025-01-01,31638,15697,16,5,14,11,2
2025-02-01,2025-02-01,31643,15697,5,0,5,5,0
2025-03-01,2025-03-01,31647,15701,8,4,4,4,4
2025-04-01,2025-04-01,31651,15704,7,3,4,4,3
2025-05-01,2025-05-01,31654,15708,4,1,0,3,4
2025-06-01,2025-06-01,31658,15708,6,2,6,4,0
2025-07-01,2025-07-01,31659,15709,4,3,3,1,1
2025-08-01,2025-08-01,31663,15712,5,1,2,4,3
2025-09-01,2025-09-01,31663,15712,1,1,1,0,0
2025-10-01,2025-10-01,31665,15712,2,0,2,2,0
2025-11-01,2025-11-01,31665,15709,0,0,3,0,-3
2025-12-01,2025-12-01,31668,15711,4,1,2,3,2
2026-01-01,2026-01-01,31669,15711,2,1,2,1,0
2026-02-01,2026-02-01,31669,15711,0,0,0,0,0
2026-03-01,2026-03-01,31670,15712,2,1,1,1,1
2026-04-01,2026-04-01,31674,15716,4,0,0,4,4
2026-05-01,2026-05-01,31674,15715,0,0,1,0,-1
